chrom	txStart	txEnd	strand	#name	name2	exonCount
chr1	15795738	15833510	+	NM_009352	Terf1	10
chr1	15843942	15882803	-	NM_001033288	Gm106	5
chr1	16056059	16083122	-	NM_001243238	4930444P10Rik	5
chr1	16091375	16094514	-	NM_011291	Rpl7	7
chr1	16095962	16122631	+	NM_133832	Rdh10	6
chr1	16218890	16509383	-	NM_001111272	Stau2	13
chr1	16559486	16609367	-	NM_025773	Ube2w	6
chr1	16632845	16646946	-	NM_026456	Tceb1	4
chr1	16647632	16652359	+	NR_037998	D030040B21Rik	4
chr1	16655271	16668356	+	NM_026392	Tmem70	3
chr1	16678536	16699686	+	NM_001159711	Ly96	5
chr1	16985020	17087970	-	NM_020604	Jph1	5
chr1	17135453	17154351	+	NM_010267	Gdap1	6
chr1	17591981	17621020	+	NM_053191	Pi15	6
chr1	17717497	17756288	+	NM_031402	Crispld1	15
chr1	18105271	18127132	-	NM_030033	Crisp4	7
chr1	18200133	18213645	-	NR_002879	Defb44-ps	2
chr1	18226553	18227524	-	NM_001039123	Defb18	2
chr1	18241058	18255219	-	NM_183124	Defb41	2
chr1	18250604	18255219	-	NM_001040027	Gm15386	2
chr1	19093102	19156413	+	NM_153154	Tfap2d	8
chr1	19198994	19228815	+	NM_009334	Tfap2b	7
chr1	20047859	20608138	-	NM_153179	Pkhd1	67
chr1	20346534	20382381	+	NR_045734	4930486I03Rik	3
chr1	20669090	20669163	+	NR_029593	Mir206	1
chr1	20672849	20672968	+	NR_029902	Mir133b	1
chr1	20720985	20724577	+	NM_010552	Il17a	3
chr1	20767229	20774351	-	NM_145856	Il17f	3
chr1	20793094	20810294	-	NM_008563	Mcm3	17
chr1	20878730	20880554	-	NR_040492	6720483E21Rik	4
chr1	20880702	20928837	+	NM_028829	Paqr8	3
chr1	20941706	20980922	+	NM_027974	Efhc1	11
chr1	20991458	21069290	-	NM_133252	Tram2	11
chr1	21208711	21220248	+	NM_029398	Tmem14a	5
chr1	21230669	21255640	+	NM_010356	Gsta3	7
chr1	21275326	21288393	-	NR_002858	Gm4956	6
chr1	21339757	21342280	+	NM_183322	Khdc1a	3
chr1	21358411	21359824	+	NM_001033904	Khdc1c	3
chr1	21373636	21376465	+	NM_001113187	Khdc1b	3
chr1	21388483	21952023	-	NM_001160139	Kcnq5	15
chr1	22278502	22812563	-	NM_053270	Rims1	32
chr1	23107312	23109092	-	NM_025746	4933415F23Rik	1
chr1	23279107	23279178	+	NR_029533	Mir30a	1
chr1	23298539	23298623	+	NR_029717	Mir30c-2	1
chr1	23373262	23390014	-	NM_001081079	Ogfrl1	7
chr1	23768764	23854697	+	NM_172124	B3gat2	4
chr1	23852465	23929128	-	NM_028534	Smap1	10
chr1	24002777	24012479	-	NM_026503	1110058L19Rik	3
chr1	24017596	24107180	-	NM_026604	Fam135a	21
chr1	24184448	24259577	+	NM_007740	Col9a1	38
chr1	24264521	24594276	-	NM_007733	Col19a1	51
chr1	24685382	24823146	+	NM_026719	Lmbrd1	16
chr1	25124320	25886552	-	NM_175642	Bai3	31
chr1	25333248	25334799	-	NM_001204913	Gm20172	1
chr1	26738645	26744305	-	NM_001033764	4931408C20Rik	2
chr1	28832966	28837097	-	NM_001013750	Gm597	2
chr1	30859186	30920101	-	NM_001081080	Phf3	15
chr1	30997147	31006600	-	NM_011200	Ptp4a1	6
chr1	30998436	31006555	-	NR_002688	Gm13363	7
chr1	31197922	31279501	-	NR_033445	4931428L18Rik	3
chr1	31233279	31261570	+	NM_153601	Lgsn	5
chr1	31279683	31281132	+	NM_029062	4930521A18Rik	1
chr1	31321691	31324906	+	NR_015347	Gm4850	2
chr1	32229650	32714583	+	NM_133235	Khdrbs2	9
chr1	32576407	32577844	-	NM_001199956	Gm9839	1
chr1	32600390	32604138	-	NM_001164286	Gm5415	1
chr1	33510655	33726603	-	NM_008922	Prim2	14
chr1	33726668	33727557	+	NR_033199	1700001G17Rik	1
chr1	33777263	33799409	+	NM_001159729	Rab23	8
chr1	33802328	33814595	-	NM_145392	Bag2	3
chr1	33818597	33871272	-	NM_133817	Zfp451	15
chr1	33892743	33895759	-	NM_001161816	Gm15455	1
chr1	33908896	33964466	-	NM_177235	Bend6	7
chr1	34068669	34365497	+	NM_134448	Dst	98
chr1	34489965	34490044	-	NR_039562	Mir5103	1
chr1	34493514	34496517	-	NM_027159	Ccdc115	5
chr1	34496673	34502592	+	NM_178601	Imp4	9
chr1	34516590	34530624	+	NM_011206	Ptpn18	15
chr1	34555274	34559907	+	NM_009355	Prss39	5
chr1	34592492	34601156	+	NM_007685	Cfc1	6
chr1	34609176	34617788	-	NM_009356	Prss40	5
chr1	34636537	34647789	+	NM_213727	Fam123c	2
chr1	34690379	34693055	-	NR_033627	AA619741	1
chr1	34858566	34869599	+	NM_183019	Arhgef4	10
chr1	34870062	34899895	-	NM_001160236	Fam168b	7
chr1	34906803	34936430	+	NM_145516	Plekhb2	8
chr1	36125244	36163291	+	NM_015818	Hs6st1	2
chr1	36196872	36301147	-	NM_198899	Uggt1	41
chr1	36321446	36330270	-	NM_153408	Neurl3	4
chr1	36364577	36380874	+	NM_001172206	Arid5a	7
chr1	36392574	36426026	-	NM_172652	4632411B12Rik	21
chr1	36480030	36502084	-	NM_001013374	Lman2l	8
chr1	36528441	36565621	+	NM_033570	Cnnm4	7
chr1	36568720	36585082	+	NM_001039551	Cnnm3	9
chr1	36587378	36592574	-	NM_153502	Ankrd23	9
chr1	36595017	36604046	-	NM_026241	Ankrd39	4
chr1	36605486	36615226	-	NM_001126047	Sema4c	15
chr1	36619540	36740028	-	NM_001126046	Fam178b	15
chr1	36748331	36750233	+	NM_009942	Cox5b	4
chr1	36756046	36766770	-	NM_146107	Actr1b	11
chr1	36771382	36814805	+	NR_040290	4933424G06Rik	9
chr1	36818705	36839661	+	NM_009539	Zap70	13
chr1	36849033	36996372	-	NM_018872	Tmem131	41
chr1	37276105	37320229	+	NM_009918	Cnga3	6
chr1	37426065	37461284	+	NM_172971	Inpp4a	16
chr1	37473929	37486948	-	NM_198006	6330578E17Rik	3
chr1	37487016	37495969	+	NM_026123	Unc50	6
chr1	37496184	37593104	-	NM_173870	Mgat4a	15
chr1	37542695	37545450	-	NR_024017	4930594C11Rik	1
chr1	37668520	37776656	-	NM_028096	2010300C02Rik	10
chr1	37811620	37921924	-	NM_207228	Tsga10	20
chr1	37929050	37933143	+	NM_001037918	Lipt1	2
chr1	37935734	37947256	-	NM_026913	Mitd1	7
chr1	37947397	37955178	+	NM_027098	Mrpl30	6
chr1	37962767	37973338	-	NM_001033427	Lyg2	6
chr1	38003582	38014604	-	NM_027111	Lyg1	6
chr1	38040711	38054053	-	NM_172054	Txndc9	5
chr1	38054854	38112424	+	NM_198303	Eif5b	24
chr1	38109630	38186507	-	NM_019570	Rev1	23
chr1	38234171	38721800	-	NM_010678	Aff3	23
chr1	38851353	38878060	-	NM_001029878	Lonrf2	11
chr1	38920717	38955005	-	NM_145142	Chst10	7
chr1	38995993	39007121	+	NM_001011684	Nms	10
chr1	39044658	39054081	+	NM_026850	Pdcl3	6
chr1	39251116	39420085	+	NM_008719	Npas2	21
chr1	39424695	39428755	+	NM_001252219	Rpl31	5
chr1	39428341	39535592	-	NM_018775	Tbc1d8	20
chr1	39592646	39603722	+	NM_028043	D1Bwg0212e	7
chr1	39605591	39605685	-	NR_028555	Snord89	1
chr1	39608143	39634192	-	NM_001033135	Rnf149	7
chr1	39675250	39708027	-	NM_170597	Creg2	4
chr1	39722145	39777834	-	NM_001145660	Rfx8	15
chr1	39860985	39862177	-	NM_001177348	Gm3646	2
chr1	39899272	39904175	-	NR_040465	1700066B17Rik	5
chr1	39957757	40083155	+	NM_001252202	Map4k4	30
chr1	40133056	40142696	-	NR_037980	Gm16894	4
chr1	40141612	40182070	+	NM_010555	Il1r2	9
chr1	40323430	40373022	+	NM_001123382	Il1r1	11
chr1	40381471	40422316	+	NM_133193	Il1rl2	11
chr1	40496493	40505207	+	NM_010743	Il1rl1	8
chr1	40522465	40548425	+	NM_001161843	Il18r1	10
chr1	40572206	40606142	+	NM_010553	Il18rap	13
chr1	40637071	40687576	+	NM_177084	Slc9a4	12
chr1	40738556	40825730	+	NM_001033289	Slc9a2	12
chr1	40828884	40847502	-	NM_172499	Mfsd9	6
chr1	40862445	40912112	+	NM_001081198	Tmem182	5
chr1	41224404	41238097	-	NR_040475	4930448I06Rik	3
chr1	42705044	42751670	-	NR_027826	2610017I09Rik	4
chr1	42753990	42757054	+	NM_008900	Pou3f3	1
chr1	42757180	42760021	+	NR_027891	2900092D14Rik	1
chr1	42908077	42962528	+	NM_023514	Mrps9	11
chr1	43009716	43092294	+	NM_053107	Gpr45	2
chr1	43104113	43155467	-	NM_001013025	Tgfbrap1	13
chr1	43155554	43172791	+	NM_133818	AI597479	4
chr1	43179918	43220806	-	NM_010212	Fhl2	6
chr1	43502595	43627363	+	NM_010879	Nck2	5
chr1	43787446	43799409	+	NM_024283	1500015O10Rik	4
chr1	43807075	43884553	-	NM_026430	Uxs1	15
chr1	43990851	44059816	+	NM_009418	Tpp2	30
chr1	44066252	44076851	-	NM_001013799	A530098C11Rik	5
chr1	44143461	44159233	-	NM_029368	1700029F09Rik	8
chr1	44163390	44175618	-	NM_023645	Kdelc1	10
chr1	44176812	44201616	+	NM_144558	Bivm	10
chr1	44204588	44238105	+	NM_011729	Ercc5	15
chr1	44260914	44275776	-	NM_207281	4832428D23Rik	5
chr1	44608515	44853681	+	NM_028450	Gulp1	11
chr1	44796519	44801794	-	NR_040602	4930521E06Rik	3
chr1	45368382	45406551	+	NM_009930	Col3a1	51
chr1	45431175	45560127	-	NM_007737	Col5a2	54
chr1	45852345	45880458	+	NM_028599	Wdr75	21
chr1	45964914	45982439	-	NM_016917	Slc40a1	8
chr1	46068391	46069108	-	NM_001177356	Gm3852	1
chr1	46077259	46087282	-	NR_037691	Gm4776	4
chr1	46123582	46430395	+	NM_001160386	Dnahc7b	66
chr1	46864388	46910354	-	NM_172653	Slc39a10	10
chr1	50984366	51244114	+	NM_019790	Tmeff2	10
chr1	51275229	51390623	-	NR_045151	9330175M20Rik	5
chr1	51345969	51359804	+	NM_138741	Sdpr	2
chr1	51526331	51535243	-	NM_028696	Obfc2a	6
chr1	51806609	51972818	-	NM_001161817	Myo1b	31
chr1	52065087	52164028	+	NM_011487	Stat4	24
chr1	52176281	52218709	+	NM_009283	Stat1	25
chr1	52242124	52290076	-	NM_001113383	Gls	15
chr1	52512692	52557292	-	NM_008667	Nab1	8
chr1	52687548	52708763	+	NR_024590	Tmem194b	9
chr1	52713147	52784162	-	NM_133829	Mfsd6	7
chr1	52846263	52874532	-	NM_008384	Inpp1	6
chr1	52901889	52977704	+	NM_146108	Hibch	14
chr1	52981970	53009684	-	NM_144953	1700019D03Rik	2
chr1	53118506	53124923	+	NM_010834	Mstn	3
chr1	53215420	53244461	-	NM_027070	1700019A02Rik	9
chr1	53246031	53353840	-	NM_153556	Pms1	13
chr1	53353938	53367089	+	NM_145517	Ormdl1	4
chr1	53370506	53380908	+	NM_028091	Osgepl1	7
chr1	53401487	53409543	-	NM_133728	Asnsd1	6
chr1	53453845	53763628	-	NM_001252070	Dnahc7a	66
chr1	53812355	53842059	-	NM_133810	Stk17b	8
chr1	53987658	54251878	-	NM_172655	Hecw2	7
chr1	54307526	54425571	+	NM_030025	Ccdc150	28
chr1	54454424	54495815	-	NM_001033194	Gtf3c3	18
chr1	54529843	54614528	-	NM_001163314	Pgap1	27
chr1	54702183	54983231	-	NM_001081433	Ankrd44	28
chr1	55042012	55084322	-	NM_031179	Sf3b1	25
chr1	55109613	55129546	+	NM_001039710	Coq10b	5
chr1	55134677	55144776	-	NM_010477	Hspd1	12
chr1	55144991	55148161	+	NM_008303	Hspe1	4
chr1	55188088	55211743	+	NM_025283	Mob4	8
chr1	55227003	55283626	-	NM_028713	Rftn2	9
chr1	55294020	55296902	+	NM_175439	Mars2	1
chr1	55356912	55420313	-	NM_029267	Boll	10
chr1	55462789	55811129	+	NM_001114663	Plcl1	6
chr1	55988084	56028942	+	NR_045837	9130227L01Rik	6
chr1	56692892	56694295	-	NM_027661	Hsfy2	1
chr1	56850824	57028178	-	NM_139146	Satb2	11
chr1	57028312	57032040	+	NR_024325	9130024F11Rik	1
chr1	57257488	57271840	-	NR_037990	BC055402	7
chr1	57416065	57434388	-	NR_037999	4930558J18Rik	4
chr1	57434463	57442266	+	NM_028546	1700066M21Rik	2
chr1	57445087	57463518	-	NR_004860	1110034B05Rik	8
chr1	57463391	57472802	+	NM_001081181	9430016H08Rik	5
chr1	57831704	58005241	+	NM_144882	Spats2l	14
chr1	58011944	58026368	-	NR_027630	Kctd18	7
chr1	58042183	58082741	+	NM_001177867	Sgol2	6
chr1	58086812	58163254	+	NM_009676	Aox1	35
chr1	58169979	58257296	+	NM_023617	Aox3	35
chr1	58267240	58325440	+	NM_023631	Aox4	35
chr1	58335169	58436108	+	NM_001008419	Aox3l1	36
chr1	58449979	58463392	+	NM_025824	Bzw1	12
chr1	58468831	58480932	-	NR_027854	Clk1	11
chr1	58487836	58502330	-	NM_027351	Ppil3	7
chr1	58504476	58519120	+	NM_022988	Nif3l1	6
chr1	58521047	58558260	-	NM_001025378	Orc2	15
chr1	58579649	58643177	-	NM_172513	Fam126b	12
chr1	58643442	58652792	+	NM_025597	Ndufb3	3
chr1	58709484	58712675	+	NR_045007	Gm20257	2
chr1	58714963	58752833	-	NM_175370	Als2cr12	15
chr1	58770129	58815726	+	NM_207653	Cflar	10
chr1	58852217	58904347	+	NM_009812	Casp8	9
chr1	58957293	59030326	-	NM_172406	Trak2	16
chr1	59030414	59051965	+	NM_172656	Stradb	12
chr1	59107349	59151744	-	NM_175200	Als2cr11	13
chr1	59157440	59176650	-	NM_001037812	Als2cr4	13
chr1	59177778	59220233	-	NM_001164682	Mpp4	23
chr1	59219599	59293937	-	NM_001159948	Als2	34
chr1	59313750	59409213	+	NM_001033373	Cdk15	14
chr1	59538990	59543799	+	NM_008057	Fzd7	1
chr1	59573107	59691353	+	NM_001013771	Gm973	20
chr1	59696277	59727678	-	NM_009460	Sumo1	5
chr1	59741849	59768354	+	NM_018868	Nop58	15
chr1	59748801	59748854	+	NR_028554	Snord70	1
chr1	59761651	59761714	+	NR_028521	Snord11	1
chr1	59821480	59927703	+	NM_007561	Bmpr2	13
chr1	59969849	60042190	+	NM_001037725	Fam117b	8
chr1	60045911	60099931	-	NM_027407	Ica1l	11
chr1	60133711	60155344	-	NM_001199060	Wdr12	14
chr1	60155124	60207878	+	NM_139150	Carf	16
chr1	60237442	60391549	+	NM_173444	Nbeal1	55
chr1	60400215	60444231	+	NM_030013	Cyp20a1	13
chr1	60466462	60538007	+	NM_001198571	Abi2	11
chr1	60540028	60623609	-	NM_001045513	Raph1	14
chr1	60803231	60830203	+	NM_007642	Cd28	4
chr1	60965868	60972674	+	NM_009843	Ctla4	4
chr1	61034757	61057164	+	NM_017480	Icos	5
chr1	61435275	61452748	+	NR_040483	9530026F06Rik	5
chr1	61685397	62688858	+	NM_001081050	Pard3b	23
chr1	62749890	62865266	+	NM_010939	Nrp2	16
chr1	62837491	62841306	-	NR_040601	4930487H11Rik	3
chr1	63094374	63160841	-	NM_001081436	Ino80d	12
chr1	63161313	63204869	+	NR_045914	Gm11602	4
chr1	63190165	63223396	-	NM_001160039	Ndufs1	20
chr1	63223404	63227060	+	NM_018796	Eef1b2	6
chr1	63225596	63225709	+	NR_028558	Snora41	1
chr1	63229267	63260783	-	NM_146250	Gpr1	3
chr1	63319842	63361149	+	NM_028673	Zdbf2	7
chr1	63492477	63619793	+	NM_001177600	Adam23	24
chr1	63669424	63733501	-	NM_001081658	Dytn	15
chr1	63745400	63776892	-	NM_029696	Mdh1b	11
chr1	63777198	63799959	+	NM_172422	Fastkd2	12
chr1	63801482	63815841	-	NM_001256158	4933402D24Rik	3
chr1	64011300	64015573	+	NR_027824	Gm13749	2
chr1	64082246	64167963	-	NM_033563	Klf7	4
chr1	64579377	64651122	+	NM_133828	Creb1	8
chr1	64653053	64663742	-	NM_025964	Mettl21a	3
chr1	64726442	64737233	-	NR_038009	2810408I11Rik	2
chr1	64737918	64772216	+	NM_001097644	Ccnyl1	10
chr1	64777131	64784324	-	NM_001042659	Fzd5	2
chr1	64835694	65003398	-	NM_001039493	Plekhm3	8
chr1	65059659	65079322	-	NM_027582	Akr1cl	10
chr1	65095130	65097737	-	NM_007777	Cryge	3
chr1	65108411	65110014	-	NM_007776	Crygd	3
chr1	65118172	65120079	-	NM_007775	Crygc	3
chr1	65126800	65128841	-	NM_144761	Crygb	3
chr1	65146962	65149937	-	NM_007774	Cryga	3
chr1	65153886	65169767	-	NM_175293	D630023F18Rik	8
chr1	65205189	65233053	-	NM_001111320	Idh1	9
chr1	65233258	65325270	+	NM_011086	Pikfyve	42
chr1	65357830	65435818	+	NM_139270	Pth2r	13
chr1	65973095	65974878	+	NM_027010	Crygf	3
chr1	66221902	66489157	+	NM_008632	Mtap2	14
chr1	66515020	66745722	+	NM_175510	Unc80	65
chr1	66747466	66766379	+	NM_025683	Rpe	6
chr1	66765816	66864169	-	NM_001122738	1110028C15Rik	15
chr1	66877426	66909841	-	NM_007381	Acadl	11
chr1	66970869	66991630	-	NM_021285	Myl1	7
chr1	67047090	67085446	-	NM_021295	Lancl1	10
chr1	67169639	67277022	+	NM_001080809	Cps1	38
chr1	68086539	69154633	-	NM_010154	Erbb4	27
chr1	69577783	69732534	-	NM_011770	Ikzf2	8
chr1	69998203	70771705	+	NM_025728	Spag16	8
chr1	70772288	70931971	+	NM_177164	Vwc2l	4
chr1	71074108	71149546	-	NM_007525	Bard1	11
chr1	71289663	71461484	-	NM_175210	Abca12	53
chr1	71603729	71625977	+	NM_026195	Atic	16
chr1	71632096	71699745	-	NM_010233	Fn1	46
chr1	71699908	71709417	+	NR_040308	Apol7d	4
chr1	71934685	71937778	+	NR_027658	Gm8883	3
chr1	72005571	72051769	-	NR_040454	4933417E11Rik	3
chr1	72205806	72258881	-	NM_001005423	Mreg	5
chr1	72305746	72330888	-	NM_023523	Pecr	8
chr1	72330946	72349569	+	NM_175564	Tmem169	3
chr1	72353994	72441527	+	NM_009533	Xrcc5	21
chr1	72473685	72583138	-	NM_001045533	March4	4
chr1	72629824	72683364	+	NM_018817	Smarcal1	17
chr1	72689553	72747138	-	NM_176980	Ankar	24
chr1	72757833	72760387	+	NM_009084	Rpl37a	4
chr1	72871053	72899045	+	NM_008342	Igfbp2	4
chr1	72904638	72921439	-	NM_010518	Igfbp5	4
chr1	73061648	73062473	-	NM_009407	Tnp1	2
chr1	73071159	73072082	+	NR_038002	1700027A15Rik	2
chr1	73437958	73454143	-	NR_003202	Pinc	5
chr1	73445541	73477353	+	NR_040605	D530049I02Rik	3
chr1	73664954	73911040	-	NR_045311	6030407O03Rik	9
chr1	73956804	74171021	-	NM_027884	Tns1	35
chr1	74172114	74194804	+	NM_001170641	Rufy4	12
chr1	74200567	74207820	+	NM_009909	Cxcr2	2
chr1	74238359	74241205	-	NM_178241	Cxcr1	2
chr1	74283123	74314787	+	NM_029711	Arpc2	10
chr1	74325173	74326163	+	NM_174985	Gpbar1	1
chr1	74326413	74331312	-	NM_001190444	Aamp	11
chr1	74331607	74334027	+	NM_025580	Pnkd	3
chr1	74334820	74350910	-	NM_027154	Tmbim1	12
chr1	74408681	74415895	+	NM_001033345	Gm216	10
chr1	74421776	74432625	+	NM_013612	Slc11a1	15
chr1	74438182	74443859	+	NM_153088	Ctdsp1	7
chr1	74440883	74440968	+	NR_029743	Mir26b	1
chr1	74455957	74482134	+	NM_009509	Vil1	20
chr1	74482083	74590860	-	NM_176972	Usp37	26
chr1	74552633	74577416	+	NM_021383	Rqcd1	8
chr1	74589462	74612551	+	NM_001081456	Plcd4	17
chr1	74611701	74634602	-	NM_029888	Zfp142	9
chr1	74634934	74639017	+	NM_025784	Bcs1l	8
chr1	74640325	74647971	-	NM_021313	Rnf25	10
chr1	74648028	74683467	+	NM_175031	Stk36	27
chr1	74708327	74744547	+	NM_001014974	Ttll4	20
chr1	74760147	74784464	+	NM_024264	Cyp27a1	9
chr1	74785495	74795529	-	NM_153744	Prkag3	14
chr1	74818465	74831893	+	NM_009526	Wnt6	4
chr1	74838592	74850749	+	NM_009518	Wnt10a	4
chr1	74901602	74904306	+	NM_009872	Cdk5r2	1
chr1	74928082	74931982	-	NM_153111	Fev	3
chr1	74936517	74939709	-	NM_021541	Cryba2	5
chr1	74947231	74947295	-	NR_029876	Mir375	1
chr1	74948653	74982173	-	NM_001039495	Ccdc108	33
chr1	74991891	74998225	-	NM_010544	Ihh	3
chr1	75013919	75121800	-	NM_029342	Nhej1	6
chr1	75122115	75130464	-	NM_194333	Slc23a3	12
chr1	75131788	75138942	-	NM_026977	1810031K17Rik	9
chr1	75139359	75144483	+	NM_170755	Fam134a	9
chr1	75165219	75168200	+	NM_001159905	Zfand2b	10
chr1	75168214	75176857	-	NM_023732	Abcb6	19
chr1	75177439	75188497	-	NM_001003917	Atg9a	16
chr1	75188708	75195960	+	NM_026187	Ankzf1	13
chr1	75194809	75207353	-	NM_029010	Glb1l	17
chr1	75207403	75212181	+	NM_011494	Stk16	8
chr1	75211548	75215828	-	NM_009447	Tuba4a	4
chr1	75216669	75228668	-	NM_001243090	A630095N17Rik	3
chr1	75232997	75242267	+	NM_001159883	Dnajb2	9
chr1	75243615	75260783	-	NM_008985	Ptprn	23
chr1	75268776	75274955	-	NM_009049	Resp18	6
chr1	75305139	75314212	-	NM_001110831	Dnpep	15
chr1	75356918	75364290	+	NM_010043	Des	9
chr1	75364784	75371590	-	NR_037976	Gm15179	4
chr1	75396659	75401140	+	NM_001173477	Speg	5
chr1	75432517	75439751	+	NM_133708	Gmppa	13
chr1	75447084	75470915	+	NM_183022	Accn4	10
chr1	75471143	75476046	-	NM_001001566	Chpf	4
chr1	75476106	75482268	+	NM_177056	Tmem198	5
chr1	75482399	75503027	-	NM_178884	Obsl1	20
chr1	75503651	75506929	+	NM_010564	Inha	2
chr1	75518103	75533910	+	NM_027886	Stk11ip	25
chr1	75542840	75556006	+	NM_009208	Slc4a3	23
chr1	76485707	76498603	+	NR_038013	Gm17751	5
chr1	77363759	77511663	-	NM_007936	Epha4	18
chr1	78097841	78193711	-	NM_008781	Pax3	8
chr1	78306920	78416861	+	NM_001004173	Sgpp2	5
chr1	78421410	78485421	-	NM_011811	Farsb	17
chr1	78507634	78534748	+	NM_026713	Mogat1	7
chr1	78654399	78704318	+	NM_028817	Acsl3	16
chr1	78655014	78664176	+	NM_001136226	Utp14b	4
chr1	78813523	78816600	+	NM_021342	Kcne4	2
chr1	79431243	79436665	-	NM_009129	Scg2	2
chr1	79603450	79668547	-	NM_183027	Ap1s3	5
chr1	79722977	79758344	-	NM_027057	Wdfy1	5
chr1	79772592	79778020	+	NM_001081210	Mrpl44	4
chr1	79790895	79855240	-	NM_009255	Serpine2	9
chr1	80195273	80210519	-	NM_173425	Fam124b	2
chr1	80263392	80337005	-	NM_016716	Cul3	16
chr1	80442506	80472235	+	NR_040460	1700016L21Rik	3
chr1	80497647	80755128	-	NM_175291	Dock10	56
chr1	81073891	81268226	+	NM_172849	9430031J16Rik	5
chr1	82229679	82288014	-	NM_010570	Irs1	2
chr1	82313153	82441941	+	NM_029777	Rhbdd1	7
chr1	82447297	82583424	-	NM_007735	Col4a4	48
chr1	82583495	82718634	+	NM_007734	Col4a3	52
chr1	82721492	82748964	+	NM_029409	Mff	9
chr1	82753223	82765031	-	NM_025453	Tm4sf20	4
chr1	82836057	82892850	+	NM_010472	Agfg1	13
chr1	83009097	83035023	-	NM_030556	Slc19a3	7
chr1	83113340	83115742	+	NM_016960	Ccl20	4
chr1	83156336	83207147	+	NM_027725	Wdr69	10
chr1	83252355	83404775	-	NM_172430	Sphkap	11
chr1	84032867	84281220	-	NM_001003948	Pid1	3
chr1	84366413	84692796	-	NM_152915	Dner	13
chr1	84692413	84692490	+	NR_039588	Mir5126	1
chr1	84717763	84835879	-	NM_133975	Trip12	41
chr1	84836415	84897061	+	NM_025386	Fbxo36	4
chr1	84903279	84931658	-	NM_027921	Slc16a14	5
chr1	85084713	85106428	-	NM_213615	A530032D15Rik	7
chr1	85196185	85210337	+	NM_001081746	Gm7609	4
chr1	85242918	85267141	-	NM_175219	C130026I21Rik	8
chr1	87473474	87495385	-	NM_030194	Sp110	12
chr1	87497277	87541611	+	NM_001013817	Sp140	17
chr1	87546624	87606023	+	NM_013673	Sp100	20
chr1	87613657	87633181	-	NM_177055	A630001G21Rik	6
chr1	87690021	87748152	+	NM_133781	Cab39	9
chr1	87791084	87805273	+	NM_022417	Itm2c	6
chr1	87825057	87828331	+	NR_037692	4933407L21Rik	3
chr1	87836111	87857630	-	NM_001033290	Gpr55	2
chr1	87918516	87921244	+	NM_027029	Spata3	2
chr1	87942437	87952031	+	NM_001144992	2810459M11Rik	3
chr1	87961193	88035870	+	NM_027357	Psmd1	25
chr1	87995611	88008545	-	NM_008311	Htr2b	4
